1	https://fr.wikipedia.org/wiki/Robot	200	UTF-8	   13918
2	https://fr.wikipedia.org/wiki/Robot_de_cuisine	200	UTF-8	    4124
3	fr.wikipedia.org/wiki/Robot_d%27indexation	301		       0
4	https://fr.wikipedia.org/wiki/Bot_informatique	200	UTF-8	    6540
5	https://fr.wikipedia.org/wiki/Atlas_(robot)	200	utf-8	     264
6	https://roboty.magistry.fr	000		       0
7	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	429	utf-8	     264
8	https://fr.wiktionary.org/wiki/robot	429	utf-8	     264
9	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	429	utf-8	     264
10	https://fr.wikipedia.org/wiki/Robotique	429	utf-8	   22017
